"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-1-32","21.14","21.20","21.32","20.99","9.20M","-0.24%"
"2024-1-31","21.14","21.20","21.32","20.99","9.20M","-0.24%"
"2024-1-30","21.16","21.30","21.32","20.99","9.20M","-0.24%"
"2024-1-29","21.21","21.03","21.25","20.83","14.25M","1.68%"
"2024-1-26","20.86","20.81","20.92","20.77","7.98M","-0.38%"
"2024-1-25","20.94","20.95","21.07","20.79","15.74M","1.11%"
"2024-1-24","20.71","20.98","21.00","20.70","24.19M","0.88%"
"2024-1-23","20.53","20.44","20.56","20.40","13.08M","1.53%"
"2024-1-22","20.22","20.12","20.41","20.07","18.14M","-2.18%"
"2024-1-19","20.67","20.77","20.77","20.56","12.57M","-0.67%"
"2024-1-18","20.81","20.56","20.84","20.53","10.57M","0.77%"
"2024-1-17","20.65","20.78","20.80","20.61","18.21M","-1.48%"
"2024-1-16","20.96","21.14","21.17","20.92","16.92M","-1.09%"
"2024-1-12","21.19","21.39","21.54","21.11","18.91M","1.78%"
"2024-1-11","20.82","20.97","21.07","20.57","21.64M","-0.57%"
"2024-1-10","20.94","20.93","21.02","20.85","11.95M","-0.29%"
"2024-1-9","21.00","21.22","21.25","20.96","10.75M","-0.62%"
"2024-1-8","21.13","21.07","21.25","21.00","9.51M","-0.38%"
"2024-1-5","21.21","21.15","21.53","21.03","21.40M","0.62%"
"2024-1-4","21.08","20.92","21.10","20.77","11.73M","0.09%"
"2024-1-3","21.06","21.08","21.22","20.91","26.24M","-2.73%"
"2024-1-2","21.65","21.89","21.99","21.64","13.24M","-0.60%"
"2023-12-29","21.78","21.62","21.95","21.56","13.16M","-0.95%"
"2023-12-28","21.99","22.17","22.25","21.96","11.19M","-1.08%"
"2023-12-27","22.23","22.10","22.40","22.09","13.77M","0.14%"
"2023-12-26","22.20","22.21","22.22","22.04","11.82M","0.36%"
"2023-12-22","22.12","22.41","22.53","22.05","17.24M","-0.85%"
"2023-12-21","22.31","22.28","22.42","22.19","17.00M","1.23%"
"2023-12-20","22.04","22.26","22.31","22.04","12.31M","0.05%"
"2023-12-19","22.03","21.91","22.13","21.89","12.69M","1.06%"
"2023-12-18","21.80","21.88","21.88","21.66","12.93M","-0.14%"
"2023-12-15","21.83","21.98","22.02","21.75","13.08M","-1.44%"
"2023-12-14","22.15","21.99","22.18","21.99","20.34M","1.75%"
"2023-12-13","21.77","20.75","21.78","20.61","34.22M","4.46%"
"2023-12-12","20.84","20.97","20.98","20.78","12.10M","-0.33%"
"2023-12-11","20.91","20.97","21.00","20.81","22.88M","-0.90%"
"2023-12-8","21.10","21.35","21.56","21.01","28.75M","-3.17%"
"2023-12-7","21.79","21.89","21.91","21.60","16.70M","-0.64%"
"2023-12-6","21.93","22.17","22.20","21.87","13.31M","-0.86%"
"2023-12-5","22.12","22.28","22.38","21.95","27.11M","-1.51%"
"2023-12-4","22.46","22.75","22.92","22.36","30.61M","-3.73%"
"2023-12-1","23.33","23.09","23.37","23.05","22.11M","0.86%"
"2023-11-30","23.13","22.97","23.15","22.85","14.28M","1.09%"
"2023-11-29","22.88","22.96","23.13","22.82","16.58M","-0.17%"
"2023-11-28","22.92","22.68","22.92","22.59","16.96M","1.60%"
"2023-11-27","22.56","22.67","22.70","22.50","19.70M","1.30%"
"2023-11-24","22.27","22.02","22.29","22.00","10.80M","2.77%"
"2023-11-22","21.67","21.70","21.82","21.57","11.15M","-0.46%"
"2023-11-21","21.77","21.88","22.00","21.74","15.19M","1.35%"
"2023-11-20","21.48","21.42","21.60","21.38","9.70M","-1.24%"
"2023-11-17","21.75","21.79","21.85","21.68","12.30M","-0.05%"
"2023-11-16","21.76","21.88","22.06","21.73","20.19M","1.45%"
"2023-11-15","21.45","21.36","21.52","21.24","18.57M","1.32%"
"2023-11-14","21.17","20.92","21.24","20.87","21.71M","3.62%"
"2023-11-13","20.43","20.18","20.49","20.10","10.99M","0.44%"
"2023-11-10","20.34","20.55","20.60","20.34","14.06M","-1.69%"
"2023-11-9","20.69","20.75","21.07","20.65","18.41M","0.19%"
"2023-11-8","20.65","20.81","20.93","20.61","14.32M","-0.39%"
"2023-11-7","20.73","20.73","20.76","20.57","16.06M","-1.66%"
"2023-11-6","21.08","21.22","21.23","21.07","10.09M","-0.66%"
"2023-11-3","21.22","21.03","21.35","20.99","21.26M","1.68%"
"2023-11-2","20.87","21.07","21.10","20.77","12.22M","-0.48%"
"2023-11-1","20.97","20.82","21.09","20.66","25.22M","-0.05%"
